node_id,name,display_name,country_name,facility_type,lat,lon,place
facility::19a610b6f7c7,Headquarter,Headquarter,Japan,,33.92894591934175,134.61620887569183,"491 Oka, Kaminaka-Cho, Anan-Shi, Tokushima 774-8601"
facility::19d34761a461,Headquarter,Headquarter,China,Commodity trader,31.931970323208553,118.79963299631972,"Nanjing, Jiangsu, China"
facility::1bce859fdcac,Saxony,Battery Pack Plant,Germany,Electric car producer,50.7910949,12.4883772,Zwickau_-_Saxony_-_Germany
facility::1ceff93c0d4d,Murrin Murrin Nickel Cobalt Plant,Mine,Australia,Commodity trader,-28.772050602525788,121.89427221385985,"Laverton WA 6440, Australie"
facility::1d5ef57d06a8,Niihama Nickel Refinery,Production Plant,Japan,,33.96002571151914,133.2591925471241,"5-1 Sobirakicho, Niihama, Ehime 792-0001, Japan"
facility::1dd06df38867,Minato-ku Headquarter,Headquarter,Japan,Battery producer,35.665887303691214,139.76193521170632,"Panasonic Tokyo Shiodome Bld. 1-5-1 Higashi Shimbashi, Minato-ku, Tokyo, Japan"
facility::1dd5f802314d,Erfurt Kreuz,Battery cell plant,Germany,Battery producer,50.8619236,10.9475602,Erfurt_-_Thuringia_-_Germany
facility::1e8ee2c7850a,Lualaba Copper Smelter,Smelter,Democratic Republic of the Congo,Smelter,-10.76589,25.50571,"Lualaba, Democratic Republic of the Congo"
facility::1ef0b79899ea,Kasombo Main Site,Mine,Democratic Republic of the Congo,,-10.8899014,26.6234379,"Kasombo, Haut-Katanga, Democratic Republic of the Congo"
facility::1f005db050a6,Shanghai Gigafactory 3,Automobile Plant,China,Battery producer,30.8745754,121.769127,Fengxian_-_Shanghai_-_China
facility::1f1b3eba6950,Sheung Wan,Headquarter,China,,22.287664706855377,114.14824669605417,"17a, 235 Wing Lok St, Sheung Wan, Hong Kong"
facility::1f75c6530c15,Kokkola,Refinery Precursor Plant,Finland,Smelter,63.861931,23.0511864,Kokkola_-_Central Ostrobothnia_-_Finland
facility::1f991ba55a66,Salzgitter,Electric Car Plant,Germany,,52.181426265283044,10.444809708467561,38239 Salzgitter
facility::20461232edcb,LGES Michigan,Battery cell plant,USA,Battery producer,42.756406,-86.069464,"Holland, Michigan, USA"
facility::207dd92ef0c1,Headquarter,Headquarter,Zambia,,-13.018721403586916,28.659743437773873,"Ndola Copperbelt, Zambia"
