company,stage,country,longitude,latitude,precision
Ruashi Mining,Smelting,Democratic Republic of the Congo,27.553953,-11.611245,exact_stage
Jinchuan Group Ltd,Precursor manufacturing,China,102.205662,38.507516,exact_stage
BYD Co. Ltd.,Battery pack manufacturing,China,114.358867,22.679254,exact_stage
Sunwoda Electronic Co Ltd,Battery pack manufacturing,China,117.409925,34.826804,exact_stage
Dongfeng Motor Corporation,Electric car/scooter manufacturing,China,114.159533,30.505356,exact_stage
Nissan Motor Co.,Electric car/scooter manufacturing,Japan,139.626067,35.463731,exact_stage
"Zhejiang Jirun Automobile Co., Ltd",Electric car/scooter manufacturing,China,121.860915,29.913944,exact_stage
Bridon,source,Democratic Republic of the Congo,25.451694,-10.691163,exact_company
Chengtun Copper Resources,Artisanal processing,Democratic Republic of the Congo,25.473307,-10.621931,exact_stage
Chengtun Copper Resources,Smelting,Democratic Republic of the Congo,25.473307,-10.621931,exact_stage
Prosperous Ascent,Trading,China,116.360201,39.911124,exact_stage
"Guizhou CNGR Resource Recycling Industry Development Co., Ltd.",source,China,109.007986,27.331829,exact_company
EVelution Energy,Refining,United States,-114.649955,32.718536,exact_stage
Kayebela,source,Democratic Republic of the Congo,25.775594,-10.64825,exact_company
Managem,Precursor manufacturing,Morocco,-6.908125,30.517252,exact_stage
Menuiserie,source,Democratic Republic of the Congo,25.452381,-10.68703,exact_company
Trafigura Group Pte. Ltd.,Trading,Democratic Republic of the Congo,27.461691,-11.540455,exact_stage
Rubamin SARL,Artisanal processing,Democratic Republic of the Congo,26.654827,-10.953066,exact_stage
Rubamin SARL,Smelting,Democratic Republic of the Congo,26.654827,-10.953066,exact_stage
Vulcanis LLP,Trading,UAE,55.484011,25.331218,exact_stage
Rubamin SARL,Artisanal mining,Democratic Republic of the Congo,26.654827,-10.953066,exact_stage
Mutoshi Mining,source,Democratic Republic of the Congo,25.527546,-10.685426,exact_company
Power China International,source,China,116.322,39.931894,exact_company
Ningbo Shanshan Co Ltd,Battery cell manufacturing,China,121.458808,29.834874,exact_stage
Tulizembe/Tilwezembe,source,Democratic Republic of the Congo,25.692454,-10.798862,exact_company
