node_id,name,bhrrc_id,bhrrc_link,company_type_tags,country_name,lat,location_precision,lon,role_tags
company::miniere-de-kasombo-mikas,Minière de Kasombo (MIKAS),927047,https://www.business-humanrights.org/en/companies/mini%C3%A8re-de-kasombo-mikas/,Miner;Smelter,Democratic Republic of the Congo,-10.8899014,exact,26.6234379,buyer;supplier
company::mining-progress-company,Mining Progress Company,,,,Democratic Republic of the Congo,-11.66640919,exact,27.48685556,supplier
company::mining-promotion-company-mpc,Mining Promotion Company (MPC),,,,Zimbabwe,-17.832873288639544,exact,31.085582404891024,supplier
company::miringi,Miringi,,,,Democratic Republic of the Congo,-11.0956079,exact,26.1759781,supplier
company::mmg,MMG,760200,https://www.business-humanrights.org/en/companies/minerals-and-metals-group-mmg-part-of-china-minmetals/,Miner;Smelter,Democratic Republic of the Congo,-11.3692,exact,27.5666,buyer;supplier
company::mopani-copper-mines-plc,Mopani Copper Mines plc,894571,https://www.business-humanrights.org/en/companies/mopani-copper-mines-plc/,,Zambia,-12.830031611955206,exact,28.205176924549285,supplier
company::motorino-greenwit-technologies-inc,Motorino / Greenwit Technologies Inc.,,,Electric car producer,Canada,49.25856051,exact,-122.9850167,buyer
company::mutanda-mining-mumi,Mutanda Mining (MUMI),927049,https://www.business-humanrights.org/en/companies/mutanda-mining/,Miner;Smelter,Democratic Republic of the Congo,-10.796966,exact,25.798821,buyer;supplier
company::mutoshi-mining,Mutoshi Mining,,,,Democratic Republic of the Congo,-10.68542607371872,exact,25.527545673021617,supplier
company::nanjing-hanrui-cobalt-co-ltd,"Nanjing Hanrui Cobalt Co., Ltd",,,,,,,,subsidiary
company::nanjing-hanrui-cobalt-industry-hong-kong-co-ltd,"Nanjing Hanrui Cobalt Industry (Hong Kong) Co., Ltd.",,,Commodity trader,China,31.931970323208553,exact,118.79963299631972,buyer;supplier
company::nanjing-lg-chem-new-energy-battery-co-ltd,Nanjing LG Chem New Energy Battery Co. Ltd.,,,,,,,,subsidiary
company::netc-new-energy-technology-co-ltd,NETC (New Energy Technology Co. Ltd.),,,Battery producer,China,41.8809,exact,123.9572,buyer
company::new-spread-trading-limited,New Spread Trading Limited,,,,Hong Kong,22.278590879702186,exact,114.16910536683622,buyer
company::nextstar-energy,NextStar Energy,,,,,,,,joint_venture
